collection_date,route,route_link_index,lead_time_strata,observations,previous_collection_date,route_index
2026-09-07,BOM_MAA,95.84694398879112,5,238,2026-09-06,38.59824662067368
2026-09-08,BOM_MAA,100.11580489615616,5,128,2026-09-07,38.64294528009085
2026-09-09,BOM_MAA,100.48629865683777,5,127,2026-09-08,38.83086540395049
2026-09-10,BOM_MAA,106.58924210220061,5,182,2026-09-09,41.38952513579645
2026-09-11,BOM_MAA,95.71013476813597,5,169,2026-09-10,39.61397028736229
2026-09-12,BOM_MAA,96.89262725830581,5,156,2026-09-11,38.38301657274996
2026-09-13,BOM_MAA,96.56204106847875,5,3307,2026-09-12,37.06342422629982
2026-09-04,CCU_DEL,,5,312,,
2026-09-05,CCU_DEL,108.76128386730292,5,301,2026-09-04,100.0
2026-09-06,CCU_DEL,97.19354773160171,5,390,2026-09-05,97.19354773160173
2026-09-07,CCU_DEL,74.59242576385066,5,314,2026-09-06,72.49902493894777
2026-09-08,CCU_DEL,101.30034297506975,5,173,2026-09-07,73.44176091673545
2026-09-09,CCU_DEL,99.55831202966553,5,176,2026-09-08,73.11737749356443
2026-09-10,CCU_DEL,106.57299316633501,5,219,2026-09-09,77.9233777196198
2026-09-11,CCU_DEL,99.77184622296826,5,212,2026-09-10,77.74559259016178
2026-09-12,CCU_DEL,97.0604266249173,5,214,2026-09-11,75.46020385008111
2026-09-13,CCU_DEL,94.61481368975014,5,3266,2026-09-12,71.39653128265991
2026-09-04,DEL_AMD,,5,251,,
2026-09-05,DEL_AMD,105.6406143166488,5,153,2026-09-04,100.0
2026-09-06,DEL_AMD,94.26542086797465,5,271,2026-09-05,94.26542086797467
2026-09-07,DEL_AMD,77.43971657649794,5,337,2026-09-06,72.99887474980254
2026-09-08,DEL_AMD,103.46360296281713,5,182,2026-09-07,75.52726593845986
2026-09-09,DEL_AMD,104.55648795351684,5,164,2026-09-08,78.96865671256641
2026-09-10,DEL_AMD,96.88857386609214,5,209,2026-09-09,76.51160529001564
2026-09-11,DEL_AMD,99.88289236100059,5,223,2026-09-10,76.42200435549995
2026-09-12,DEL_AMD,98.14950333660343,5,218,2026-09-11,75.00781771480064
2026-09-13,DEL_AMD,91.39131064723293,5,2211,2026-09-12,68.55062769744366
2026-09-04,DEL_BLR,,5,484,,
2026-09-05,DEL_BLR,105.6210476837538,5,458,2026-09-04,100.0
2026-09-06,DEL_BLR,90.97505098847856,5,497,2026-09-05,90.97505098847856
2026-09-07,DEL_BLR,75.00466515382337,5,284,2026-09-06,68.23553236742842
2026-09-08,DEL_BLR,101.09996300092197,5,142,2026-09-07,68.98609797695227
2026-09-09,DEL_BLR,99.06406341520709,5,143,2026-09-08,68.34043184756489
2026-09-10,DEL_BLR,99.62935609920646,5,185,2026-09-09,68.08713220514592
2026-09-11,DEL_BLR,100.07953288405206,5,170,2026-09-10,68.141283865057
2026-09-12,DEL_BLR,99.49065371131479,5,209,2026-09-11,67.79420876462788
2026-09-13,DEL_BLR,93.90915714312571,5,4446,2026-09-12,63.6649700427131
2026-09-02,DEL_BOM,,5,1405,,
2026-09-03,DEL_BOM,,5,373,,
2026-09-04,DEL_BOM,,5,474,,
2026-09-05,DEL_BOM,99.94062107580201,5,423,2026-09-04,100.0
2026-09-06,DEL_BOM,91.79177248900471,5,455,2026-09-05,91.7917724890047
2026-09-07,DEL_BOM,86.40043508926975,5,306,2026-09-06,79.30849080665267
2026-09-08,DEL_BOM,100.79518158555035,5,162,2026-09-07,79.93913732132506
2026-09-09,DEL_BOM,110.50251730277697,5,149,2026-09-08,88.33475905018786
2026-09-10,DEL_BOM,103.53329511383724,5,176,2026-09-09,91.45588677552806
2026-09-11,DEL_BOM,99.11591474291473,5,147,2026-09-10,90.64733876380902
2026-09-12,DEL_BOM,97.3555427620652,5,145,2026-09-11,88.25020865287419
2026-09-13,DEL_BOM,99.4046280764608,5,4280,2026-09-12,87.7247916880902
2026-09-04,DEL_CCU,,5,278,,
2026-09-05,DEL_CCU,104.85599644249965,5,308,2026-09-04,100.0
2026-09-06,DEL_CCU,97.67666162717053,5,408,2026-09-05,97.67666162717052
2026-09-07,DEL_CCU,81.69761827878338,5,314,2026-09-06,79.79950616362466
2026-09-08,DEL_CCU,99.64889527875637,5,170,2026-09-07,79.51932632995506
2026-09-09,DEL_CCU,106.81032601286503,5,171,2026-09-08,84.93485169625903
2026-09-10,DEL_CCU,102.06451320529094,5,224,2026-09-09,86.68834292542256
2026-09-11,DEL_CCU,96.45848642919987,5,213,2026-09-10,83.61826349641697
2026-09-12,DEL_CCU,96.20592193521676,5,192,2026-09-11,80.44572130294677
2026-09-13,DEL_CCU,94.0849711018114,5,3302,2026-09-12,75.6873336405212
2026-09-04,DEL_GOI,,5,304,,
2026-09-05,DEL_GOI,98.86538577283159,5,313,2026-09-04,100.0
2026-09-06,DEL_GOI,96.8782689295293,5,370,2026-09-05,96.8782689295293
2026-09-07,DEL_GOI,64.55299093421763,5,265,2026-09-06,62.53782015930603
2026-09-08,DEL_GOI,107.08622706935361,5,128,2026-09-07,66.96939210001845
2026-09-09,DEL_GOI,102.89896973922832,5,129,2026-09-08,68.91081451154315
2026-09-10,DEL_GOI,103.53114455873587,5,200,2026-09-09,71.34415498854808
2026-09-11,DEL_GOI,94.97498729529055,5,204,2026-09-10,67.75910213630594
2026-09-12,DEL_GOI,91.21969257110017,5,212,2026-09-11,61.809644657676046
2026-09-13,DEL_GOI,93.82951065608144,5,3150,2026-09-12,57.99568712056021
2026-09-04,DEL_HYD,,5,281,,
2026-09-05,DEL_HYD,107.36385979897639,5,327,2026-09-04,100.0
2026-09-06,DEL_HYD,94.87428612132891,5,342,2026-09-05,94.87428612132891
2026-09-07,DEL_HYD,74.63089926333774,5,269,2026-09-06,70.80553290201979
2026-09-08,DEL_HYD,99.69759226061328,5,129,2026-09-07,70.59141149061007
2026-09-09,DEL_HYD,99.55960415581845,5,142,2026-09-08,70.28052984805632
2026-09-10,DEL_HYD,101.00070389242707,5,167,2026-09-09,70.98382984586418
2026-09-11,DEL_HYD,100.2644945671718,5,147,2026-09-10,71.17157821937695
2026-09-12,DEL_HYD,100.29328091076631,5,147,2026-09-11,71.3803108721855
2026-09-13,DEL_HYD,92.1061497060665,5,3235,2026-09-12,65.74565599259084
2026-09-04,DEL_MAA,,5,322,,
2026-09-05,DEL_MAA,111.08440824038537,5,295,2026-09-04,100.0
2026-09-06,DEL_MAA,96.81416833636125,5,322,2026-09-05,96.81416833636125
2026-09-07,DEL_MAA,73.36837280418722,5,228,2026-09-06,71.0309799522949
2026-09-08,DEL_MAA,100.74706578960108,5,118,2026-09-07,71.56162810353689
2026-09-09,DEL_MAA,97.51366321124323,5,135,2026-09-08,69.78236501736535
2026-09-10,DEL_MAA,103.93549051482553,5,155,2026-09-09,72.52864337364468
