collection_date,route,advance_days,representative_fare,first_base_fare,first_route_index,calendar_base_fare,calendar_route_index,index_difference
2026-07-02,HYD_DEL,30,6970.63,6347.889999999999,109.81018889741317,6342.99,109.89501796471382,0.08482906730064599
2026-07-02,MAA_DEL,30,9192.57,8161.56,112.63251143163806,8088.77,113.64607968825915,1.0135682566210846
2026-07-02,BLR_DEL,45,8002.455,8566.51,93.41557997364154,7502.725,106.66064663172381,13.245066658082266
2026-07-02,BLR_HYD,45,4648.25,4603.35,100.97537662789055,4361.68,106.5701747950331,5.594798167142542
2026-07-02,BOM_BLR,45,6478.280000000001,6142.85,105.4604947215055,5910.59,109.60462491900134,4.144130197495841
2026-07-02,BOM_DEL,45,7422.02,7155.57,103.7236726074932,6577.48,112.8398718050074,9.116199197514206
2026-07-02,CCU_DEL,45,7518.715,7085.785,106.10983821834843,7073.35,106.29638007450501,0.18654185615658037
2026-07-02,DEL_BLR,45,7985.82,8901.25,89.7157140851004,7363.1,108.4573073841181,18.741593299017694
2026-07-02,DEL_BOM,45,7108.92,7146.81,99.46983339419965,6642.674999999999,107.01893439013652,7.549100995936868
2026-07-02,DEL_CCU,45,7608.74,7506.02,101.36850154942299,6865.219999999999,110.83024287641183,9.461741326988843
2026-07-02,HYD_DEL,45,6421.14,6175.18,103.98304178987495,6123.91,104.85359843629315,0.8705566464182084
2026-07-02,MAA_DEL,45,7681.455,8226.95,93.3694139383368,7682.245000000001,99.98971654770187,6.620302609365069
2026-07-03,BLR_DEL,1,13308.54,12766.82,104.24318663535634,13358.3,99.62749751091083,-4.61568912444551
2026-07-03,BLR_HYD,1,8333.63,7969.66,104.56694513944132,7613.44,109.45945590954942,4.892510770108103
2026-07-03,BOM_BLR,1,11538.994999999999,10536.8,109.51137916635032,10337.22,111.62570787890749,2.1143287125571675
2026-07-03,BOM_DEL,1,13008.39,11787.115,110.36110193206734,11827.42,109.98501786526562,-0.3760840668017238
2026-07-03,CCU_DEL,1,12845.19,12308.66,104.35896352649274,12623.55,101.75576600876934,-2.6031975177234017
2026-07-03,DEL_BLR,1,14311.12,13136.69,108.94007546802125,13157.8,108.76529511012481,-0.17478035789643798
2026-07-03,DEL_BOM,1,12774.75,11601.5,110.11291643321984,11927.8,107.10063884370966,-3.0122775895101768
2026-07-03,DEL_CCU,1,13327.12,11537.265,115.51368543584637,12325.0,108.13079107505072,-7.382894360795646
2026-07-03,HYD_DEL,1,11287.25,10507.67,107.41915191474418,10728.94,105.2037759554998,-2.2153759592443834
2026-07-03,MAA_DEL,1,15211.43,14184.83,107.23730915351118,14184.83,107.23730915351118,0.0
2026-07-03,BLR_DEL,7,10137.25,10173.86,99.64015624354964,10508.55,96.46668665039421,-3.1734695931554313
2026-07-03,BLR_HYD,7,6183.745,5977.64,103.44793262893049,6172.19,100.18721069830967,-3.260721930620818
2026-07-03,BOM_BLR,7,8146.065,7932.34,102.69434996482751,8250.02,98.73994244862435,-3.9544075162031618
2026-07-03,BOM_DEL,7,8516.745,9014.355,94.47980471148519,9447.32,90.14985202152569,-4.329952689959498
